Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
         1;1961-1990;        43;      51.1;        45;      45.9;        54;      79.3;      96.9;      87.6;      94.7;      58.1;      50.1;      63.5;      51.8;     777.9;
         2;1961-1990;        43;      61.9;      52.3;      61.1;      56.3;      72.2;      78.6;      77.4;      72.2;      53.7;      58.7;      67.7;      75.4;     787.5;
         3;1961-1990;        43;      62.2;      56.6;      66.4;      63.2;      74.9;      82.2;      79.8;      75.8;      59.2;        63;      71.9;      73.1;     828.3;
         4;1961-1990;        43;      68.7;      63.9;      70.2;      67.7;      78.5;      91.7;      78.3;      74.4;      59.1;      61.3;      77.1;        82;     872.8;
         6;1961-1990;        46;      69.6;      62.4;      61.9;      70.5;      89.2;       102;      81.8;      84.1;      62.2;      60.5;      72.1;        73;     889.5;
         7;1961-1990;        43;      72.4;      62.7;      65.9;      77.1;        94;       110;      84.3;      86.3;      63.8;      62.9;      75.9;      75.5;     930.7;
         8;1961-1990;        43;      46.4;      40.8;      45.6;      47.3;      65.7;      72.3;      63.8;      63.8;      44.8;      51.3;      56.5;      54.7;     652.9;
         9;1961-1990;        46;      50.2;      42.2;      49.5;      52.4;      63.9;      73.4;      64.8;      64.5;      45.9;      51.9;      58.5;      56.9;     674.1;
        10;1961-1990;        43;      49.9;      45.2;      44.9;      46.4;      60.8;      84.3;      73.2;      78.3;      52.1;      47.2;      53.6;      55.5;     691.3;
        12;1961-1990;        43;      49.5;      38.9;      46.1;      46.4;      62.1;      77.7;        64;      62.5;      49.9;      39.8;      50.1;      57.5;     644.6;
        13;1961-1990;        46;      45.2;      39.2;      47.2;      47.9;      56.1;      64.2;      52.7;      56.4;      39.9;        37;        47;        51;     583.7;
        14;1961-1990;        46;      59.9;      40.9;        53;      47.1;      53.9;      72.1;      77.9;      75.1;      76.2;      75.3;        81;        69;     781.3;
        15;1961-1990;        43;        46;      40.5;      47.2;      52.9;      71.9;      78.9;      66.3;      65.2;      51.5;      45.9;      45.8;      51.9;       664;
        16;1961-1990;        43;      52.2;      46.1;        49;      56.3;        70;      80.2;        65;      64.7;      49.2;      47.2;        51;      58.5;     689.4;
        17;1961-1990;        43;        53;      44.5;      43.2;      48.7;      74.5;        95;      74.4;      80.6;      60.2;      51.6;      56.5;      57.8;     740.1;
        18;1961-1990;        46;       109;      90.6;       100;      74.3;      86.5;        87;      77.6;        85;      79.4;      94.9;     117.9;     125.5;    1127.7;
        19;1961-1990;        43;      64.3;      58.2;      57.9;      63.8;      82.8;      94.6;      74.1;      83.7;        57;      56.4;      66.2;      68.6;     827.6;
        20;1961-1990;        43;      80.1;      66.4;      70.4;      66.5;      88.4;     103.2;      80.6;      95.4;      63.6;        64;      76.7;      81.2;     936.6;
        21;1961-1990;        43;      84.8;      75.6;      77.3;     110.7;     136.6;     159.4;     145.6;       160;       121;      85.8;      96.4;      86.7;    1339.9;
        22;1961-1990;        43;      68.6;      63.6;      68.6;      75.5;     104.9;     114.2;        90;      93.3;      79.1;      69.3;      84.2;      78.5;     989.9;
        23;1961-1990;        43;      59.5;      40.4;      50.8;      48.5;      65.1;      72.2;      74.3;      73.7;      59.9;      53.3;      63.2;      63.6;     724.4;
        24;1961-1990;        46;     122.3;     104.2;       116;     125.8;     153.9;     186.9;     179.8;     179.1;       114;      97.5;     118.7;     128.2;    1626.3;
        25;1961-1990;        43;      79.4;      64.5;      74.7;      84.5;     107.3;     122.6;      97.2;      99.7;      75.8;      71.2;      85.4;      82.7;      1045;
        26;1961-1990;        43;      55.6;      43.7;        46;      47.4;      57.8;      77.5;      75.6;      66.6;      52.7;      44.7;      55.9;      62.5;     685.9;
        27;1961-1990;        43;     108.7;      96.1;     113.7;     133.2;     166.5;     211.3;       199;     198.2;     127.7;     100.4;     121.5;     118.2;    1694.6;
        28;1961-1990;        43;      72.9;      67.5;      67.3;      70.6;      87.9;     103.7;      80.9;      95.6;      59.6;      64.4;      75.1;        82;     927.5;
        29;1961-1990;        43;        48;      41.8;      51.1;      48.3;      63.7;      79.5;      66.2;      59.9;      51.2;      49.3;      51.2;      59.3;     669.3;
        30;1961-1990;        43;      72.8;      61.7;      66.4;      55.9;      67.7;      80.5;        68;      65.4;      53.1;      63.1;      70.9;        84;     809.4;
        31;1961-1990;        43;      55.4;      37.1;      49.6;        47;      62.1;      63.9;      67.8;      67.6;      56.1;      47.1;      56.5;      58.4;     668.6;
        32;1961-1990;        43;      63.5;      43.9;      57.8;      61.2;        72;      73.3;      66.7;      67.1;      51.2;      47.5;      58.9;      75.7;     738.8;
        33;1961-1990;        43;      34.8;      30.8;      38.7;      42.6;      48.5;      66.2;      46.8;      61.3;      36.1;      31.5;      39.4;      44.4;     521.3;
        34;1961-1990;        46;      63.2;      57.5;      63.8;      65.1;      83.9;        94;      73.8;      77.4;      55.9;        61;      67.1;      66.9;     829.6;
        35;1961-1990;        43;      51.1;      47.9;      50.2;      54.1;      72.2;      82.3;      67.9;      87.2;      52.5;      47.4;      48.9;      57.2;     718.9;
        36;1961-1990;        43;      89.8;      64.6;      81.1;      70.6;      80.5;      96.2;      91.6;      90.3;        76;      66.2;      89.1;     106.4;    1002.4;
        37;1961-1990;        43;      39.9;      40.2;      38.9;      57.8;        83;     108.3;      92.8;      88.4;      63.6;      47.6;      53.1;      44.5;       758;
        38;1961-1990;        43;      75.5;      52.2;      66.8;      56.3;      65.3;      75.5;      74.7;      72.9;      69.4;      60.3;      78.1;      85.7;     832.8;
