Stations_id;Bezugszeitraum;Datenquelle;Jan.;Feb.;März;Apr.;Mai;Jun.;Jul.;Aug.;Sept.;Okt.;Nov.;Dez.;Jahr;
         1;1961-1990;        44;      -1.4;         0;       3.7;       7.8;      12.2;      15.7;      17.7;      16.7;      13.5;       8.4;       3.1;       -.5;       8.1;
         3;1961-1990;        51;       2.4;       2.8;       5.4;       8.4;      12.8;      15.6;      17.3;      17.1;      14.4;      10.8;       6.1;       3.4;       9.7;
        44;1961-1990;        42;        .9;       1.2;       4.1;       7.4;      12.1;      15.2;      16.5;      16.4;      13.5;       9.6;       5.1;         2;       8.7;
        52;1961-1990;        42;        .1;        .5;       3.3;       6.8;      11.6;        15;      16.2;        16;      13.1;       9.3;       4.7;       1.3;       8.2;
        61;1961-1990;        46;      -2.4;       -.4;       3.7;       8.3;      13.1;      16.1;      17.8;      17.2;      13.6;       8.4;       3.1;       -.7;       8.2;
        70;1961-1990;        42;      -2.4;      -1.3;       1.8;       5.8;      10.3;      13.5;      15.6;      14.8;      11.7;       7.1;       1.7;      -1.7;       6.4;
        71;1961-1990;        42;      -1.4;         0;       2.9;       6.4;      10.8;      13.9;      16.2;      15.5;      12.5;       8.2;       2.9;       -.3;       7.3;
        72;1961-1990;        42;        -2;      -1.1;       1.8;       5.3;       9.9;      13.1;      15.1;      14.4;      11.5;       7.3;       2.1;        -1;       6.4;
        73;1961-1990;        51;      -2.5;       -.6;       3.3;       7.8;      12.7;      15.7;      17.2;      16.5;      13.1;       8.1;         3;       -.9;       7.8;
        78;1961-1990;        51;        .8;       1.1;       3.9;       7.3;        12;      15.1;      16.5;      16.2;        13;       9.2;       4.9;       1.9;       8.5;
        91;1961-1990;        42;       -.7;         0;       3.2;       6.8;      11.4;      14.6;      16.3;      15.8;      12.7;       8.5;       3.5;        .5;       7.7;
        93;1961-1990;        46;       -.5;        .3;       3.7;       7.4;        12;      15.1;      16.8;      16.3;      13.1;       8.7;       3.8;        .7;       8.1;
        96;1961-1990;        42;       -.8;        .1;       3.1;       7.5;      12.8;      16.2;      17.5;      17.2;      13.6;       9.3;       4.5;        .9;       8.5;
        98;1961-1990;        46;      -1.8;      -1.4;       1.3;       4.8;       9.4;      12.5;        14;      13.9;        11;       7.1;       2.1;       -.7;         6;
       106;1961-1990;        42;      -1.9;      -1.5;       1.2;       4.5;       9.8;      13.1;      14.5;      13.9;      11.1;       7.3;       2.4;       -.6;       6.2;
       116;1961-1990;        42;       -.4;        .5;         4;       8.2;      13.1;      16.4;      18.1;      17.6;      14.2;       9.2;       4.2;         1;       8.8;
       125;1961-1990;        46;      -1.5;       -.6;       2.6;       6.3;      10.9;      14.1;      16.2;      15.6;      12.7;       8.2;       2.9;       -.6;       7.2;
       129;1961-1990;        46;       -.9;       -.2;       2.8;       6.8;        12;      15.5;      16.9;      16.8;      13.4;       9.1;       4.3;        .8;       8.1;
       131;1961-1990;        46;      -1.1;       -.2;       3.2;       7.2;      12.3;      15.6;      17.1;      16.8;      13.5;       9.1;       3.9;        .4;       8.1;
       132;1961-1990;        44;      -3.9;      -2.8;        .7;       5.2;       9.9;      13.3;        15;      14.5;      11.6;       6.8;       1.2;      -2.4;       5.8;
